user_id,user_card_id,counter,type,content_path
113538563,2,1,image,../data/113538563/1/2.jpg
113538563,1,1,default,lápis
113538563,3,1,translation,pencil
113538563,5,1,image,../data/113538563/2/5.jpg
113538563,4,1,default,caneta
113538563,6,1,audio,../data/113538563/2/6.mp3
359999978,2,1,image,../data/359999978/1/2.jpg
359999978,1,1,default,우유
359999978,3,1,audio,../data/359999978/1/3.mp3
113538563,8,1,image,../data/113538563/3/8.jpg
113538563,7,1,default,Tiago
113538563,9,1,translation,tiago
359999978,6,1,translation,1
359999978,4,1,default,하나
359999978,5,1,audio,../data/359999978/2/5.mp3
359999978,9,1,translation,2
359999978,7,1,default,둘
359999978,8,1,audio,../data/359999978/3/8.mp3
113538563,11,1,image,../data/113538563/4/11.jpg
113538563,10,1,default,thalão
113538563,12,1,translation,thalão
359999978,12,1,translation,3
359999978,10,1,default,셋
359999978,11,1,audio,../data/359999978/4/11.mp3
359999978,15,1,translation,4
359999978,13,1,default,넷
359999978,14,1,audio,../data/359999978/5/14.mp3
359999978,18,1,translation,5
359999978,16,1,default,다섯
359999978,17,1,audio,../data/359999978/6/17.mp3
359999978,21,1,translation,6
359999978,19,1,default,여섯
359999978,20,1,audio,../data/359999978/7/20.mp3
179867572,1,1,default,add word
359999978,22,1,default,Tiago
359999978,23,1,image,../data/359999978/8/23.jpg
359999978,25,1,image,../data/359999978/9/25.jpg
359999978,24,1,default,Camargo
359999978,29,1,translation,maguinho
359999978,27,1,image,../data/359999978/10/27.jpg
359999978,26,1,default,wololo
359999978,28,1,audio,../data/359999978/10/28.mp3
42,2,2,audio,so pode sobrar euuu
